city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
China Grove,NC,New Hope Presbyterian Church,39,0,0,3,3,127920,NA,127920,NA,127920,15926,NA,17936,3654.85714285714
Abbeville,SC,New Hope Presbyterian Church,26,0,1,3,2,122882,NA,122882,NA,122882,98776,2430,120226,4726.23076923077
Vestal,NY,New Hope Presbyterian Church,39,2,0,3,2,128047,NA,131042,NA,131042,113500,NA,123565,3360.05128205128
Fairfax,VA,New Hope Presbyterian Church,87,0,0,0,0,310451,0,310451,4513,314964,200426,0,230020,4372.54929577465
Eustis,FL,New Hope Presbyterian Church,186,16,31,6,2,474604,NA,474604,695,475299,490739,NA,508167,2966.275
Olathe,KS,New Hope Presbyterian Church in America,205,4,17,3,3,477167,NA,477167,NA,477167,538241,NA,614699,2891.92121212121
Irvine,CA,New Life Church of Irvine,200,0,0,NA,NA,846047,NA,846047,NA,846047,NA,NA,68006,4230.235
Fayetteville,NC,New Life Community Church,170,22,3,2,12,259259,98711,362048,0,362048,253785,98711,429796,2742.78787878788
Elk Run Heights,IA,New Life Fellowship Church,17,3,6,2,6,21000,NA,21000,NA,21000,20000,NA,21600,1312.5
Fredericksburg,VA,New Life in Christ Church,493,28,22,13,19,1364334,147440,1587999,3636,1591635,884261,132086,1502725,3911.3275862069
Fredericksburg,VA,New Life Korean Church,40,0,0,0,0,178953,0,178953,0,178953,119224,0,210279,4473.825
Fullerton,CA,New Life Mission Church,142,0,16,3,1,557141,NA,583736,2500,586236,NA,NA,1000,4110.81690140845
Aurora,CO,New Life Mission Church of Colorado,944,38,26,11,15,441654,56007,1060006,NA,1060006,560000,200000,977600,1547.45401459854
Fremont,CA,New Life Mission Church of Fremont,34,3,1,0,0,186000,NA,186000,NA,186000,NA,NA,0,7153.84615384615
San Jose,CA,New Life Mission Church of Northern California,58,84,1,0,0,285615,5675,298129,2729,300858,196122,18014,296065,5140.15517241379
Minneola,FL,New Life PCA,46,3,5,3,2,182846,NA,503004,2707,505711,120087,36288,156375,11976.2857142857
Dresher,PA,New Life Presbyterian Church,692,29,50,20,18,1983111,1690,2090979,45238,2136217,1301001,273834,2048707,3788.00543478261
Ithaca,NY,New Life Presbyterian Church,45,6,3,1,NA,233300,NA,243300,NA,243300,NA,NA,11900,5658.13953488372
Glenside,PA,New Life Presbyterian Church,563,24,8,9,8,957831,29559,1228707,17459,1246166,834268,26415,1239394,2517.84221311475
Tifton,GA,New Life Presbyterian Church,74,5,2,2,3,201679,0,201979,NA,201979,187540,0,198894,3257.72580645161
Escondido,CA,New Life Presbyterian Church,400,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yorktown,IN,New Life Presbyterian Church,307,47,32,7,6,714448,34806,779584,37047,816631,676179,0,723541,3021.64341085271
Harrison City,PA,New Life Presbyterian Church,213,25,12,6,5,496276,NA,506945,NA,506945,293745,26448,362450,2654.16230366492
York,PA,New Life Presbyterian Church,155,27,3,4,11,458586,1000,474836,12939,487775,221491,55050,348655,3570.1954887218
Framingham,MA,New Life Presbyterian Church,750,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Beach,VA,New Life Presbyterian Church,153,2,7,3,0,222114,NA,227839,87,227926,222050,558,250321,1808.24603174603
Canton,NY,New Life Presbyterian Church,28,0,3,1,2,66880,NA,66880,NA,66880,68953,NA,68953,2388.57142857143
Aliquippa,PA,New Life Presbyterian Church of Hopewell Township,124,4,7,3,2,NA,NA,0,NA,0,NA,NA,0,0
San Diego,CA,New Life Presbyterian Church of La Jolla,75,4,3,3,2,441733,10550,452283,27809,480092,230359,NA,325834,8533.64150943396
La Mesa,CA,New Life Presbyterian Church of La Mesa,356,24,18,4,6,896926,6113,925444,24732,950176,774619,25258,987708,2883.0031152648
Fullerton,CA,New Life Presbyterian Church of Orange County,482,36,0,4,5,1250580,NA,1250580,17340,1267920,NA,NA,123400,3895.88785046729
Quincy,FL,New Philadelphia Presbyterian Church,52,0,13,3,4,92228,0,100847,67600,168447,139767,NA,171027,1939.36538461538
Washington,MO,New Port Presbyterian Church,72,6,1,4,1,189245,6000,195445,48,195493,117632,33504,180020,3758.55769230769
Wilton Manors,FL,New Presbyterian Church,155,0,0,NA,NA,545856,NA,545856,NA,545856,NA,NA,620,3521.65161290323
Bryan,TX,New Somang Presbyterian Church,17,0,3,NA,NA,32083,NA,32083,NA,32083,27232,NA,35432,1887.23529411765
Corona,CA,New Song Church,184,25,8,3,101,545000,NA,545000,NA,545000,28500,100000,144500,3114.28571428571
Baltimore,MD,New Song Community Church,30,0,0,2,1,NA,NA,0,NA,0,NA,NA,0,0
Coral Springs,FL,New Springs Church,83,5,1,2,3,NA,NA,0,NA,0,NA,NA,0,0
Dallas,TX,New St. Peter's Presbyterian Church,301,25,12,9,11,855196,301511,1218108,194830,1412938,1050534,70493,1403421,5366.11453744493
Chandler,AZ,New Valley Church,466,61,23,6,3,1373254,NA,1460228,41301,1501529,1179048,NA,1318498,4411.56495468278
Whitestone,NY,New York Kwang Yeom Presbyterian,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbern,AL,Newbern Presbyterian Church,11,0,0,2,1,4151,0,5020,2300,7320,4174,0,4715,456.363636363636
Vienna,VA,NewCity Church,305,24,8,3,4,1810000,4100000,6110000,NA,6110000,820000,4100000,5100000,34914.2857142857
Orlando,FL,NewCity Orlando,473,95,10,7,4,1623616,0,1667541,20886,1688427,1513780,0,1762124,5327.60702875399
Newton,MS,Newton Presbyterian Church,36,0,0,NA,NA,69287,NA,69287,NA,69287,NA,NA,4745,1924.63888888889
Aberdeen,NC,Norman Presbyterian Church,19,0,0,1,1,41981,NA,42481,NA,42481,36364,NA,39264,2235.84210526316
Anderson,SC,Norris Hill Presbyterian Church,45,1,0,2,1,35421,0,40421,0,40421,34186,0,40421,1616.84
North Augusta,SC,North Augusta Fellowship,36,10,0,NA,NA,125000,67000,192000,NA,192000,125000,0,125500,6620.68965517241
Mason,OH,North Cincinnati Community Church,388,32,11,6,7,1016009,0,1099797,1125,1100922,847194,0,937606,3858.93684210526
Poway,CA,North City Presbyterian Church,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Ft. Myers,FL,North Ft. Myers Presbyterian Church,121,7,15,3,7,273600,NA,284447,NA,284447,200000,NA,258834,3269.50574712644
Meridianville,AL,North Hills Presbyterian Church,95,15,4,1,1,246000,80000,326000,50000,376000,250000,120000,387600,3835.29411764706
Macon,GA,North Macon Presbyterian Church,442,27,21,9,5,1755082,500,1832115,254202,2086317,1519861,0,1972058,4834.0765171504
San Diego,CA,North Park Presbyterian Church,150,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oyster Bay,NY,North Shore Community Church,345,24,59,6,7,NA,NA,0,NA,0,NA,NA,0,0
Chattanooga,TN,North Shore Fellowship,942,61,109,15,15,1776550,141280,1967679,55378,2023057,1593739,33775,1854982,2751.9986013986
Cornelius,NC,NorthCross Church,195,15,2,4,7,524220,70114,602586,2894,605480,441529,100570,570128,4155.76551724138
Philadelphia,PA,Northeast Community Church,115,18,3,NA,NA,155049,NA,161706,152327,314033,294771,12000,312470,1406.13913043478
Columbia,SC,Northeast Presbyterian Church,989,32,106,15,17,2311913,10000,2427502,119159,2546661,1855772,114092,2404817,2816.12761020882
Albany,GA,Northgate Presbyterian Church,70,7,2,4,1,276960,NA,276960,NA,276960,222860,NA,246508,5326.15384615385
Meridian,MS,Northpointe Presbyterian Church,165,10,9,3,7,644337,31655,681287,4995,686282,430450,NA,519529,5322.5546875
Melbourne,FL,Northside Presbyterian Church,215,28,9,8,6,714300,12000,758342,20150,778492,352708,108996,536502,4260.34831460674
