weight,trad,income,pid7,vote_2024,race,educ
0.6565669181330852,White Catholic,10,2,1,1,5
1.052497361874966,White Evangelical,7,7,2,1,5
2.429413799326555,White Catholic,10,7,2,1,5
0.196016337477446,Something Else,7,1,1,1,5
1.022922774950709,Nothing in Particular,7,2,NA,6,5
1.239796613190881,White Catholic,8,7,2,1,5
0.6420832264964578,Atheist,7,3,8,1,5
0.1229487202950901,Agnostic,14,3,1,4,6
0.6082720158865387,White Catholic,9,3,1,1,2
0.001084749655996626,Black Protestant,7,2,NA,2,5
0.003229070332516662,Black Protestant,3,6,2,2,2
0.4809911659784388,White Mainline,7,1,1,1,6
1.072682782938148,White Catholic,11,7,2,1,5
0.7850428011740745,Other White Protestant,8,1,1,1,6
0.7687653615524948,Agnostic,9,1,1,6,6
4.523329886919959,Something Else,3,7,2,1,1
0.8255793656251403,White Mainline,10,1,1,1,5
0.04055205433993397,Nothing in Particular,6,4,1,3,5
4.386224018079219,Something Else,8,1,1,1,3
2.766036682445712,Nothing in Particular,6,4,NA,2,3
1.390745411407064,Atheist,8,1,1,1,5
1.343748199082357,White Evangelical,3,7,2,1,2
0.3377910339744654,Agnostic,9,4,4,3,5
0.6024871503352479,White Catholic,4,2,1,1,2
0.5376330770796983,White Catholic,4,1,1,1,5
1.028379478890106,White Catholic,4,7,2,1,5
0.364200607551568,Nothing in Particular,7,1,1,2,5
0.4305139011901908,Nothing in Particular,9,1,1,1,6
1.235119842065554e-4,Nonwhite Mainline,12,4,NA,4,6
0.22812401610728,White Mainline,6,4,2,1,2
0.04119380928743494,Atheist,1,1,1,1,3
0.4341621331774498,Nonwhite Catholic,11,8,8,2,6
0.2120525845393567,Atheist,15,1,1,1,6
0.7099132234913125,Something Else,12,4,NA,1,6
0.8775586371563711,Atheist,2,1,1,6,3
0.5929252104060986,Nonwhite Catholic,7,5,2,3,5
0.1370660629909603,White Mainline,4,4,2,1,2
0.346237583039721,Atheist,9,3,1,6,5
0.3695429139216554,Nothing in Particular,5,1,1,4,3
1.007632809735253,Nonwhite Mainline,9,7,2,7,2
0.6317330149538171,Nothing in Particular,2,3,1,2,3
0.4511447941092356,Nonwhite Catholic,5,3,1,3,5
0.5120934952090513,Something Else,4,7,2,1,4
2.483385669313628e-4,Muslim,2,2,1,3,5
0.09102929048062139,Nothing in Particular,5,4,8,1,6
0.2637504990772299,White Evangelical,8,6,2,1,6
0.4196929431265994,Agnostic,9,3,1,1,6
1.360897178644921,White Catholic,7,1,1,1,5
0.6142514523278673,White Evangelical,11,4,1,1,4
0.8371868848016412,White Mainline,12,6,4,1,5
6.788517428479898,Agnostic,7,1,1,1,2
0.2939728860723812,White Catholic,4,7,2,1,2
0.1583336647811306,White Mainline,8,7,2,1,2
0.1348571710462542,Agnostic,4,3,1,1,3
1.425841537074552,Jewish,4,2,1,8,6
1.146920427372329,Nothing in Particular,10,2,1,1,6
0.821537529479376,Nonwhite Catholic,15,2,1,4,5
0.3578181020350409,White Mainline,5,6,2,1,5
0.05994417668890469,Atheist,10,1,1,3,5
0.05962872521462188,Agnostic,11,2,1,1,3
0.2983656615413488,Atheist,6,1,1,1,5
0.3636693067942394,Atheist,10,1,1,1,5
0.4208599561481733,Nothing in Particular,9,4,1,4,6
0.6639250735760385,White Mainline,9,2,1,1,5
0.3817697977861823,Other Nonwhite Protestant,4,7,2,7,6
0.01519157947233333,Agnostic,3,1,1,1,2
2.241566601350051,Muslim,13,3,NA,4,6
0.4287001179492539,Something Else,4,1,1,1,6
0.3300414261771923,White Catholic,3,5,2,1,2
0.5580101608449218,Something Else,4,2,1,1,2
1.74743628404694,White Evangelical,5,7,2,1,2
0.9875526703820409,White Mainline,5,7,2,1,5
1.428015819819985,White Mainline,3,7,2,1,2
1.26423824420169,White Mainline,8,1,NA,1,6
1.101353071408076,Black Protestant,3,7,2,1,3
1.229608572833063e-4,Nothing in Particular,4,5,NA,6,3
0.8100531135914942,Jewish,5,5,2,1,2
1.177078140708595e-4,Nothing in Particular,4,3,NA,1,5
2.348236470771926,Nonwhite Catholic,4,1,1,3,5
0.3884341347015005,Nothing in Particular,1,1,1,1,6
1.613641866512581,Other White Protestant,3,4,1,1,3
0.3301876592276325,Nothing in Particular,12,7,2,1,5
0.4992656628806291,Nothing in Particular,12,5,1,3,3
0.2792882287129245,White Mainline,10,1,1,1,6
0.4686725258902161,Nothing in Particular,12,1,1,1,5
0.4126801621810387,Nothing in Particular,2,4,1,7,6
0.5157020734843815,Nonwhite Catholic,10,4,2,2,6
0.8236355363529364,White Mainline,11,6,1,1,3
0.8567470435797991,Nothing in Particular,7,1,1,1,6
0.2637504990772299,Agnostic,7,7,2,1,6
0.5825442961553211,Other White Protestant,2,2,1,1,5
0.7839429532250807,White Evangelical,4,5,2,1,2
1.503204125438481,White Evangelical,12,6,2,1,6
0.8379242199853235,Nothing in Particular,8,1,1,3,3
0.9194584957614682,White Mainline,8,3,1,1,5
0.9531008998637326,White Catholic,9,2,1,1,2
0.7786186510057144,Nonwhite Catholic,6,2,1,2,3
0.8247896107279821,White Catholic,7,4,2,1,6
0.6185159785182406,White Evangelical,11,6,2,1,2
1.608486762018628,White Catholic,10,7,2,1,2
0.6433251436233235,White Catholic,5,7,2,1,2
0.4112921628165981,Atheist,9,1,1,1,3
1.817479837341043,Jewish,7,2,1,1,6
13.896101641424666,Other Nonwhite Protestant,10,3,1,6,4
0.756892578775968,Nothing in Particular,8,3,1,1,2
0.5514113054929198,Agnostic,3,3,1,1,4
0.9385390121578935,Agnostic,4,3,1,1,2
0.8548491335078874,White Mainline,8,1,1,1,6
0.9529968280418953,White Catholic,3,1,1,1,6
0.6427167475454242,Agnostic,3,7,2,1,3
0.002089570151966038,White Mainline,3,1,NA,1,3
0.8045808533937601,Something Else,15,7,2,1,3
0.8607533153853317,Agnostic,9,1,1,1,6
0.662253509283533,White Evangelical,3,7,NA,1,2
1.254413292770021,Nothing in Particular,1,1,1,2,2
0.374884760703205,Other Nonwhite Protestant,7,1,1,3,3
0.8411743990504482,Nonwhite Catholic,12,6,2,4,5
0.2519689673197982,White Evangelical,3,3,1,1,4
1.842179499618359,Nothing in Particular,11,7,2,1,6
0.4941527950944711,White Catholic,9,5,2,1,5
1.058250598338391,Atheist,11,2,1,1,6
2.656819091588864,White Catholic,8,3,4,1,3
0.3514596147551204,Nothing in Particular,4,6,2,1,2
1.019689045895843,White Catholic,8,1,1,1,2
0.6742390926077381,Nothing in Particular,2,5,2,6,2
12.051872944968041,Atheist,4,4,1,1,5
0.8631810157658185,Atheist,4,3,1,1,5
0.8391035980350846,White Catholic,7,3,1,1,5
1.146920427372329,White Mainline,12,1,1,1,6
0.2433301624444473,Black Protestant,3,1,1,2,3
1.982741210766336,Something Else,3,6,2,1,1
0.3609348739698918,Something Else,12,4,2,6,5
0.9572260436971517,Nothing in Particular,6,3,1,1,5
0.2416500268492301,Agnostic,7,1,1,1,4
0.04150002526798519,Agnostic,12,1,1,3,3
1.360307077852407,Nothing in Particular,6,2,1,2,2
1.064636139511872,White Evangelical,8,5,2,1,5
1.036613914608522,Nothing in Particular,2,7,2,1,2
1.046652691180493,White Mainline,3,7,2,1,2
1.457997833777248e-4,Something Else,5,7,2,1,2
0.5799497795133322,Nothing in Particular,9,6,2,1,2
0.004826698464636952,Black Protestant,8,2,NA,2,3
0.4018028532383823,Something Else,12,1,1,1,3
0.5354530881194579,Other White Protestant,3,4,NA,1,2
5.209012314673824,White Catholic,5,7,2,1,1
0.4685699414757341,White Catholic,10,7,2,1,4
1.378877734530082,White Mainline,4,1,1,1,2
2.555903575124733,Black Protestant,10,1,1,2,4
0.3431291768561286,Nothing in Particular,3,3,1,6,4
0.2484170561915378,Other Nonwhite Protestant,8,5,2,7,3
1.573740932959909e-4,Nothing in Particular,3,6,NA,2,2
0.9190249500821586,Black Protestant,4,4,1,2,5
3.588774993252886,Black Protestant,6,1,1,2,3
0.4155928029958461,Black Protestant,3,1,1,2,5
0.7087630199666706,Nothing in Particular,8,1,1,4,3
0.04620132003947478,White Evangelical,5,7,2,1,5
1.457997833777248e-4,Other White Protestant,1,7,2,1,2
1.749861860063199,Nothing in Particular,3,2,1,3,2
3.858510576703531,Black Protestant,5,2,NA,2,5
0.9461663650784565,White Mainline,7,6,2,1,2
0.8520118646348117,White Catholic,8,1,1,1,2
1.107005269071838,White Evangelical,5,7,2,1,2
0.8939738096116493,Atheist,3,4,NA,1,2
1.934679805819978,Nothing in Particular,9,4,NA,1,3
2.735095985575196,Something Else,10,2,1,1,5
0.8523792741231543,White Catholic,11,6,2,1,6
0.455868103459296,Agnostic,5,2,1,1,2
0.1537447387039218,White Catholic,12,3,1,1,5
2.275590092797585,White Mainline,11,1,1,1,6
0.5975257204147093,Jewish,7,4,1,1,5
1.009292996631902,Other White Protestant,6,4,1,1,6
2.075264169281082,Nonwhite Catholic,5,3,1,3,3
0.4459851460073663,Jewish,5,6,2,1,4
0.5117212286843097,Atheist,10,1,1,2,5
0.03580149276915546,Nothing in Particular,2,1,1,1,2
0.3379447013281978,Black Protestant,2,1,1,2,3
1.048540397494561e-4,Other Nonwhite Protestant,11,4,NA,6,3
0.2620202630341752,Agnostic,11,2,1,1,3
0.003972370121644564,Nothing in Particular,1,2,NA,2,1
1.653615393799886,White Catholic,4,6,2,1,2
2.012356834378102,Agnostic,12,1,1,1,5
0.8953044666442299,Something Else,4,7,2,1,2
1.019416127347434,Mormon/LDS,7,5,2,1,5
0.4992656628806291,Something Else,4,2,1,3,3
0.3994917380373995,Something Else,3,1,NA,2,3
0.5475472389244956,Atheist,4,3,1,1,2
6.454316776596041,Nonwhite Catholic,3,1,1,3,3
1.451242821529261e-4,Other Nonwhite Protestant,3,5,2,3,3
1.421062284515203e-4,Nothing in Particular,1,4,NA,1,2
2.481923565970285,White Catholic,12,7,2,1,2
0.3876010269565668,Black Protestant,2,5,2,2,2
2.436253647888531,Something Else,6,1,1,4,6
