year,birthyr,age,weight,trad
2024,1970,54,1.11478675901185,Nondenom Evangelical
2024,1967,57,3.83361230475326,Southern Baptist
2024,1978,46,1.22760914331586,United Methodist
2024,1943,81,0.99501637439809,Southern Baptist
2024,2000,24,2.02884124522824,Lutheran - Wisconsin Synod
2024,1972,52,3.23932502899404,TEC
2024,1963,61,2.19492429637925,ELCA
2024,1961,63,1.04942201610739,Other Lutheran
2024,1954,70,0.321514658215786,ABCUSA
2024,1963,61,0.201323833927701,Southern Baptist
2024,1963,61,0.201323833927701,Nondenom Evangelical
2024,1951,73,0.634949128630478,Other Nondenom
2024,1966,58,0.169264779952889,Community Church
2024,1955,69,1.07152546199352,Community Church
2024,1955,69,1.07152546199352,Other Pentecostal
2024,1966,58,0.222051981571763,Other Pentecostal
2024,1979,45,0.725247218677394,Baptist Miss. Association
2024,1984,40,0.0113613314767514,United Methodist
2024,1984,40,0.0113613314767514,Nondenom Evangelical
2024,1984,40,0.0113613314767514,Pentecostal Church of God
2024,1975,49,2.77599495857628,Community Church
2024,1975,49,2.77599495857628,Other Presbyterian
2024,1949,75,1.9143771148536,Natl. Baptist Convention
2024,2000,24,1.74761053474137,Christian Reformed
2024,1967,57,1.82731526658397,Southern Baptist
2024,2000,24,0.181159646723893,ABCUSA
2024,1974,50,0.299018742182382,United Methodist
2024,1948,76,1.35541525638766,Southern Baptist
2024,1989,35,0.783763917112422,Nondenom Evangelical
2024,1959,65,0.48647229720842,United Church of Christ
2024,1959,65,0.48647229720842,Christian Reformed
2024,1974,50,0.637334375600335,Nondenom Evangelical
2024,1982,42,3.26632717109061,Southern Baptist
2024,1994,30,0.0744819025322549,Baptist Miss. Association
2024,1942,82,1.24451313724589,Nondenom Fundamentalist
2024,1942,82,1.24451313724589,ELCA
2024,1948,76,1.23010925286393,Other Nondenom
2024,1961,63,0.402259230339299,Other Lutheran
2024,1934,90,3.13169363204665,Independent Baptist
2024,1934,90,3.13169363204665,Nondenom Evangelical
2024,1951,73,0.228937325562073,PCUSA
2024,1945,79,0.396702943403939,Natl. Baptist Convention
2024,1945,79,0.396702943403939,Other Reformed
2024,1960,64,0.890034675480753,Lutheran - Wisconsin Synod
2024,1948,76,1.31657843671515,Nondenom Evangelical
2024,1944,80,0.230237290602927,United Methodist
2024,1954,70,0.572556694060672,Southern Baptist
2024,1981,43,1.88861610669653,PCUSA
2024,1969,55,0.0853328619145192,Community Church
2024,1958,66,0.676609472218,Nondenom Evangelical
2024,1967,57,0.420112023945012,Lutheran - Missouri Synod
2024,1980,44,13.6128513346066,Other Baptist
2024,1936,88,1.11429571335525,United Methodist
2024,1947,77,0.167462136660767,United Methodist
