year,birthyr,weight,baptist,methodist,nondenom,lutheran,presbyterian,pentecostal,episcopal,christian,congregational,holiness,reformed,adventist
2024,1952,1.56831544911617,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1984,0.306825776165437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1994,1.67975043064877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1958,0.825646032890708,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2003,0.158235076497769,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA
2024,1955,0.591878695398832,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1974,0.107676807456356,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1995,0.763098337904676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1964,2.05549591068839,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1955,1.37830364066704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1948,0.752443598976526,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2024,1969,0.449368249676233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1947,4.9484534535595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1970,1.59485732600318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1963,1.76668906072551,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1976,0.202051671038567,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1978,0.0300363030581192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1982,2.54819194660525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2006,2.35531954594387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1953,0.425244125468124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1950,0.572556694060672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1967,0.30678321028521,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA
2024,1950,0.502286382327561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
