naics_code	naics_desc	employee_count	dem_workers_raw	rep_workers_raw	other_workers_raw	party_known_workers_raw	dem_workers_imp	rep_workers_imp	other_workers_imp	avg_match_quality	democrat_pct_raw	republican_pct_raw	nonpartisan_pct_raw	democrat_pct_two_party_raw	republican_pct_two_party_raw	two_party_margin_raw	overall_margin_raw	democrat_pct_imp	republican_pct_imp	nonpartisan_pct_imp	democrat_pct_two_party_imp	republican_pct_two_party_imp	two_party_margin_imp	overall_margin_imp	political_diversity_raw	political_diversity_imp	effective_parties_raw	effective_parties_imp	latest_processed_at
459510	"Used Merchandise Retailers"	43869	17009.0	13933.0	12927.0	43869.0	21532.0	17424.0	4913.0	0.7254580660632084	0.38772253755499325	0.31760468668079966	0.2946727757642071	0.549705901363842	0.450294098636158	-0.09941180272768406	-0.07011785087419362	0.49082495611935534	0.3971825206865896	0.11199252319405503	0.5527261525824007	0.44727384741759935	-0.10545230516480131	-0.09364243543276574	0.6619664520937252	0.5887945824601089	2.95828625943738	2.4318745749573925	2025-07-09T19:55:12.170898
336390	"Other Motor Vehicle Parts Manufacturing"	26610	8999.0	9880.0	7731.0	26610.0	10895.0	12504.0	3211.0	0.7076403964969531	0.33818113491168733	0.37128898910184144	0.29052987598647123	0.4766671963557392	0.5233328036442608	0.046665607288521635	0.03310785419015408	0.4094325441563322	0.46989853438556933	0.12066892145809846	0.46561818881148764	0.5343818111885124	0.06876362237702466	0.060465990229237127	0.6633703977208614	0.5969993705621063	2.9706240723618365	2.4813857025355084	2025-07-09T18:09:37.739614
622110	"General Medical and Surgical Hospitals"	725040	294703.0	215355.0	214982.0	725040.0	380354.0	272193.0	72493.0	0.7444018570970318	0.406464470925742	0.2970249917245945	0.2965105373496635	0.577783310917582	0.42221668908241805	-0.15556662183516384	-0.10943947920114752	0.5245972635992497	0.3754179079774909	0.09998482842325941	0.5828760227232674	0.41712397727673256	-0.16575204544653488	-0.1491793556217588	0.6586442894066751	0.5738621394791548	2.929495447027551	2.3466584235856307	2025-07-09T19:55:15.927341
423830	"Industrial Machinery and Equipment Merchant Wholesalers"	26301	6883.0	11930.0	7488.0	26301.0	8773.0	14875.0	2653.0	0.6895804945008476	0.26170107600471465	0.453594920345234	0.28470400365005133	0.36586403019188857	0.6341359698081114	0.2682719396162228	0.19189384434051937	0.3335614615413863	0.5655678491312117	0.100870689327402	0.37098274695534506	0.629017253044655	0.2580345060893099	0.23200638758982547	0.6447078253606069	0.5586948634380839	2.8145849286293982	2.266005802222739	2025-07-09T19:51:31.090995
541715	"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"	70912	30766.0	19503.0	20643.0	70912.0	39424.0	24883.0	6605.0	0.7350593373145311	0.4338616877256318	0.27503102436823107	0.29110728790613716	0.6120272931627843	0.3879727068372158	-0.22405458632556843	-0.15883066335740073	0.555956678700361	0.35089970667870035	0.09314361462093863	0.6130592314989037	0.3869407685010963	-0.22611846299780738	-0.20505697202166065	0.6513785184867612	0.5591058343166116	2.86844056671254	2.268118015238407	2025-07-09T19:54:01.374865
541870	"Advertising Material Distribution Services"	21558	8748.0	6343.0	6467.0	21558.0	11172.0	8069.0	2317.0	0.7251533357335167	0.40578903423323126	0.2942295203636701	0.2999814454030986	0.579683254920151	0.4203167450798489	-0.15936650984030218	-0.11155951386956119	0.5182298914556082	0.3742926059931348	0.10747750255125707	0.5806351021256692	0.41936489787433084	-0.16127020425133828	-0.14393728546247334	0.6587753814564938	0.5797914111461211	2.930620903815297	2.3797704914302327	2025-07-09T19:55:15.393517
711310	"Promoters of Performing Arts, Sports, and Similar Events with Facilities"	27356	11922.0	6578.0	8856.0	27356.0	15571.0	8584.0	3201.0	0.7329620763189676	0.43580932884924695	0.24045913145196665	0.3237315396987864	0.6444324324324324	0.3555675675675676	-0.28886486486486485	-0.1953501973972803	0.5691987132621729	0.31378856557976315	0.11701272115806405	0.6446284413164977	0.3553715586835024	-0.28925688263299526	-0.2554101476824097	0.6474475251935878	0.5638575840192666	2.8364571842790314	2.2928290470243433	2025-07-09T19:52:03.251534
455211	"Warehouse Clubs and Supercenters"	153137	62506.0	38916.0	51715.0	153137.0	80163.0	50636.0	22338.0	0.7291600415709922	0.4081704617434062	0.25412539098976733	0.33770414726682646	0.6162962670820926	0.3837037329179074	-0.2325925341641853	-0.1540450707536389	0.5234724462409477	0.3306581688292183	0.14586938492983406	0.612871658040199	0.3871283419598009	-0.22574331608039816	-0.19281427741172938	0.654773068733258	0.5953638959532183	2.8966453930193037	2.471356337210052	2025-07-09T19:54:38.919542
512110	"Motion Picture and Video Production"	66375	35141.0	12182.0	19052.0	66375.0	44225.0	16184.0	5966.0	0.7449416451498388	0.5294312617702448	0.18353295668549907	0.28703578154425613	0.7425776049700991	0.2574223950299009	-0.48515520994019823	-0.3458983050847458	0.6662900188323917	0.24382674199623353	0.08988323917137477	0.73209290006456	0.2679070999354401	-0.4641858001291198	-0.4224632768361582	0.6036286529839233	0.4885271340078948	2.522886700888196	1.9551379290870055	2025-07-09T19:55:11.330637
336330	"Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing"	4612	1618.0	1775.0	1219.0	4612.0	1926.0	2210.0	476.0	0.693339105813865	0.35082393755420643	0.38486556808326106	0.2643104943625325	0.4768641320365458	0.5231358679634541	0.04627173592690834	0.03404163052905464	0.4176062445793582	0.47918473547268	0.10320901994796183	0.46566731141199225	0.5343326885880078	0.06866537717601548	0.06157849089332177	0.6589410219127447	0.5853349119796842	2.932044204226061	2.411584743664281	2025-07-09T19:54:52.013288
321999	"All Other Miscellaneous Wood Product Manufacturing"	2253	683.0	932.0	638.0	2253.0	875.0	1162.0	216.0	0.692800582366802	0.3031513537505548	0.41367066134043495	0.2831779849090102	0.42291021671826623	0.5770897832817338	0.15417956656346749	0.11051930758988016	0.3883710608078118	0.5157567687527741	0.09587217043941411	0.42955326460481097	0.570446735395189	0.140893470790378	0.12738570794496226	0.6567860695282455	0.5739714015479483	2.9136346494604104	2.3472602628871337	2025-07-09T19:45:50.223157
423140	"Motor Vehicle Parts (Used) Merchant Wholesalers"	12499	3712.0	4801.0	3986.0	12499.0	4750.0	6187.0	1562.0	0.6967559215161163	0.29698375870069604	0.38411072885830866	0.3189055124409953	0.4360389991777282	0.5639610008222719	0.12792200164454365	0.08712697015761262	0.3800304024321946	0.4949995999679974	0.12496999759980798	0.4343055682545488	0.5656944317454512	0.13138886349090245	0.11496919753580287	0.6625588691786919	0.5949347889586507	2.963479874448233	2.468738298777081	2025-07-09T19:54:44.996251
334220	"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing"	71730	31284.0	17639.0	22807.0	71730.0	41150.0	22808.0	7772.0	0.7335979653727572	0.43613550815558344	0.24590826711278405	0.3179562247316325	0.6394538356192384	0.3605461643807616	-0.2789076712384768	-0.1902272410427994	0.5736790743064268	0.3179701658999024	0.1083507597936707	0.6433909753275587	0.35660902467244127	-0.2867819506551174	-0.2557089084065245	0.6482187818458662	0.5580474061526439	2.8426759258132077	2.2626861204606605	2025-07-09T19:36:20.358721
111998	"All Other Miscellaneous Crop Farming"	4989	1988.0	1145.0	1856.0	4989.0	2758.0	1570.0	661.0	0.7137854177894755	0.39847664862697935	0.22950491080376828	0.3720184405692524	0.6345355888924353	0.3654644111075646	-0.2690711777848707	-0.16897173782321107	0.5528161956303869	0.31469232311084383	0.1324914812587693	0.6372458410351202	0.36275415896487984	-0.2744916820702403	-0.238123872519543	0.6501461362923868	0.5778090030177032	2.858336304771354	2.3685962210177873	2025-07-09T19:45:44.060912
